stock_code,portfolio_percent,price,period,shares,investor_code,activity,change_to_portfolio_percent
LILAK,0.41,$32.49,2016 Q2,"134,292",cfimx,Add 215.98%,0.28
LILAK,0.16,$37.88,2016 Q1,"42,500",cfimx,Reduce 3.85%,0.01
LILAK,0.18,$43.01,2015 Q4,"44,200",cfimx,,
LILAK,0.16,$34.23,2015 Q3,"44,200",cfimx,Buy,0.16
PKX,0.39,$44.54,2016 Q2,"9,745",DJCO,,
PKX,0.40,$47.31,2016 Q1,"9,745",DJCO,,
PKX,0.26,$35.40,2015 Q4,"9,745",DJCO,,
PKX,0.28,$34.99,2015 Q3,"9,745",DJCO,,
PKX,0.35,$49.05,2015 Q2,"9,745",DJCO,,
PKX,0.41,$54.69,2015 Q1,"9,745",DJCO,,
PKX,0.46,$63.83,2014 Q4,"9,745",DJCO,Reduce 84.91%,2.59
PKX,3.70,$75.90,2014 Q3,"64,600",DJCO,,
PKX,3.70,$74.44,2014 Q2,"64,600",DJCO,,
PKX,3.47,$69.41,2014 Q1,"64,600",DJCO,,
PKX,4.24,$78.00,2013 Q4,"64,600",DJCO,,
HGR,1.23,$8.50,2016 Q3,"68,600",ARFFX,,
HGR,1.15,$7.43,2016 Q2,"68,600",ARFFX,,
HGR,1.05,$6.50,2016 Q1,"68,600",ARFFX,Reduce 5.12%,0.06
HGR,2.80,$16.45,2015 Q4,"72,300",ARFFX,Reduce 1.90%,0.05
HGR,2.32,$13.64,2015 Q3,"73,700",ARFFX,Add 1.94%,0.04
HGR,2.79,$23.44,2015 Q2,"72,300",ARFFX,,
HGR,2.55,$22.68,2015 Q1,"72,300",ARFFX,Reduce 17.18%,0.53
HGR,2.87,$21.90,2014 Q4,"87,300",ARFFX,Add 55.06%,1.02
HGR,1.76,$20.52,2014 Q3,"56,300",ARFFX,Buy,1.76
VLTC,0.08,$3.62,2016 Q2,"4,739,620",ic,,
VLTC,0.09,$3.94,2016 Q1,"4,739,620",ic,,
VLTC,0.08,$5.00,2015 Q4,"4,739,620",ic,,
VLTC,0.12,$7.10,2015 Q3,"4,739,620",ic,,
VLTC,0.09,$5.65,2015 Q2,"4,739,620",ic,,
VLTC,0.01,$1.01,2015 Q1,"4,739,620",ic,Add 598.85%,0.01
VLTC,0.00,$0.69,2014 Q4,"678,203",ic,,
VLTC,0.00,$1.51,2014 Q3,"678,203",ic,,
VLTC,0.00,$1.98,2014 Q2,"678,203",ic,,
VLTC,0.01,$3.58,2014 Q1,"678,203",ic,,
VLTC,0.01,$3.43,2013 Q4,"678,203",ic,,
VLTC,0.01,$5.33,2013 Q3,"678,203",ic,,
VLTC,0.01,$3.57,2013 Q2,"678,203",ic,,
BAC.WS.B,0.01,$0.08,2016 Q2,"1,455,701",fairx,,
BAC.WS.B,0.02,$0.20,2016 Q1,"1,455,701",fairx,,
BAC.WS.B,0.02,$0.27,2015 Q4,"1,455,701",fairx,,
BAC.WS.B,0.01,$0.28,2015 Q3,"1,455,701",fairx,Buy,0.01
LUK,0.08,$17.33,2016 Q2,"66,000",fairx,,
LUK,0.06,$16.17,2016 Q1,"66,000",fairx,Reduce 98.55%,4.07
LUK,3.25,$17.39,2015 Q4,"4,545,221",fairx,Reduce 55.48%,4.05
LUK,5.96,$20.26,2015 Q3,"10,208,903",fairx,Reduce 3.22%,0.20
LUK,7.26,$24.63,2015 Q2,"10,548,750",fairx,,
LUK,6.20,$23.73,2015 Q1,"10,548,750",fairx,,
LUK,4.53,$23.13,2014 Q4,"10,548,750",fairx,Reduce 3.73%,0.18
LUK,4.38,$24.93,2014 Q3,"10,957,350",fairx,,
LUK,4.29,$25.65,2014 Q2,"10,957,350",fairx,Reduce 2.46%,0.11
LUK,4.72,$27.94,2014 Q1,"11,233,350",fairx,Reduce 8.14%,0.42
LUK,5.17,$28.66,2013 Q4,"12,229,050",fairx,,
LUK,4.90,$24.93,2013 Q3,"12,229,050",fairx,,
LUK,5.99,$31.38,2013 Q2,"12,229,050",fairx,,
LUK,5.78,$26.90,2013 Q1,"12,229,050",fairx,,
LUK,5.12,$22.15,2012 Q4,"12,229,050",fairx,Add 0.35%,0.02
LUK,4.78,$21.38,2012 Q3,"12,186,350",fairx,,
LUK,4.45,$20.32,2012 Q2,"12,186,350",fairx,,
