sector,stock_name,stock_code
Services,Liberty LiLAC Group C (LILAK),LILAK
Materials,POSCO (PKX),PKX
Health Care,Hanger Inc. (HGR),HGR
Technology,Voltari Corp. (VLTC),VLTC
Financials,Bank of America WTS B (BAC.WS.B),BAC.WS.B
Financials,Leucadia National Corp. (LUK),LUK
Consumer Staples,Dean Foods (DF),DF
Consumer Goods,Nomad Foods Ltd (NOMD),NOMD
Services,Liberty Media Group CL C (LMCK),LMCK
Consumer Goods,Deswell Industries (DSWL),DSWL
Consumer Discretionary,Group 1 Automotive (GPI),GPI
Consumer Goods,General Motors WTS B (GM.WS.B),GM.WS.B
Consumer Discretionary,Fossil Inc. (FOSL),FOSL
Consumer Goods,Qinqin Foodstuffs Grp (1583.HK),1583.HK
Information Technology,Juniper Networks (JNPR),JNPR
Materials,Kinder Morgan Inc. WTS (KMI.WS),KMI.WS
Services,TriNet Group (TNET),TNET
Technology,Bitauto Holdings Ltd. (BITA),BITA
Financials,"Primerica, Inc. (PRI)",PRI
Consumer Goods,Ambev S.A. (ABEV),ABEV
Financials,Credit Acceptance Corp. (CACC),CACC
Industrials,MSC Industrial Direct (MSM),MSM
Services,Cimpress N.V. (CMPR),CMPR
Services,Visa Inc. (V),V
Financials,CBRE Group (CBG),CBG
Information Technology,Agilent Technologies (A),A
Health Care,Allergan Plc (AGN),AGN
Industrial Goods,ServiceMaster Global Holdings (SERV),SERV
Technology,American Tower Corp. (AMT),AMT
Financials,CME Group (CME),CME
Consumer Discretionary,Harley-Davidson (HOG),HOG
Technology,Alphabet Inc. CL C (GOOG),GOOG
Financials,Intercontinental Exchange Inc. (ICE),ICE
Consumer Goods,Sensata Technologies Holding (ST),ST
Health Care,Zoetis Inc. (ZTS),ZTS
Technology,Alphabet Inc. (GOOGL),GOOGL
Technology,Baidu Inc. (BIDU),BIDU
Financials,Willis Towers Watson Public Ltd (WLTW),WLTW
Materials,Ecolab Inc. (ECL),ECL
Information Technology,Analog Devices (ADI),ADI
Industrial Goods,General Motors WTS A (GM.WS.A),GM.WS.A
Health Care,Quorum Health Corp. (QHC),QHC
Utilities,TerraForm Global Inc. (GLBL),GLBL
Materials,Kayne Anderson MLP Inv Co (KYN),KYN
Consumer Goods,US Foods Holding Corp. (USFD),USFD
Consumer Discretionary,Goodyear Tire & Rubber (GT),GT
Materials,PPG Industries (PPG),PPG
Energy,Kinder Morgan (KMI),KMI
Consumer Discretionary,S&P Global Inc. (SPGI),SPGI
Information Technology,Fidelity National Information Services (FIS),FIS
Services,Twenty-First Century Fox CL B (FOX),FOX
Industrials,Ingersoll-Rand Plc (IR),IR
Financials,WMIH Corp. (WMIH),WMIH
Industrials,Triumph Group Inc. (TGI),TGI
Consumer Discretionary,General Motors (GM),GM
Consumer Staples,Hain Celestial Group (HAIN),HAIN
Information Technology,Western Digital (WDC),WDC
Services,Twenty-First Century Fox (FOXA),FOXA
Materials,Huntsman Corp. (HUN),HUN
Health Care,Community Health Systems (CYH),CYH
Health Care,HCA Inc (HCA),HCA
Utilities,TerraForm Power Inc. (TERP),TERP
Services,HD Supply Holdings (HDS),HDS
Technology,NXP Semiconductors NV (NXPI),NXPI
Utilities,Atlantica Yield plc (ABY),ABY
Industrials,Southwest Airlines (LUV),LUV
Consumer Discretionary,Mohawk Industries (MHK),MHK
Financials,Synchrony Financial (SYF),SYF
Consumer Discretionary,Whirlpool Corp. (WHR),WHR
Financials,Allstate Corp. (ALL),ALL
Industrial Goods,Owens Corning (OC),OC
Materials,Williams Partners LP (WPZ),WPZ
Materials,Energy Transfer Partners LP (ETP),ETP
Consumer Discretionary,News Corp. (NWSA),NWSA
Energy,Weatherford International plc (WFT),WFT
Health Care,Alnylam Pharmaceuticals (ALNY),ALNY
Health Care,Anthem Inc. (ANTM),ANTM
Consumer Discretionary,QVC Group (QVCA),QVCA
Health Care,Medtronic plc (MDT),MDT
